raw_product,proposed_category,matched_rules,proposed_is_medicine,forecast_eligible,mapping_status,review_notes,row_count,accepted_rows,estimated_contract_rows,quantity,total_trade_price,net_cost,net_income,first_sale_date,last_sale_date,years_seen,sample_areas
CORRECTION TAPE JOY,office_stationery,office_stationery,false,false,needs_review,Likely non-pharmaceutical/non-medical-sales item by product-name keyword. Confirm with product master before exclusion.,64,64,56,272.1607,3842121.29,8669063.72,5797820.83,2023-01-21,2025-12-31,2023;2024;2025,Government;PESO;PESO Provincial;PPOC;Pagbilao;Provincial Tourism Office;QMC;Tourism
T SHIRT WITH PRINT,clothing_personal,clothing_personal,false,false,needs_review,Likely non-pharmaceutical/non-medical-sales item by product-name keyword. Confirm with product master before exclusion.,93,93,82,1679.183,3751363.54,4555197.81,1162797.37,2021-07-23,2025-12-31,2021;2022;2023;2024;2025,Aboitiz;Government;Marinduque;PESO;PHO;PPDC;Pagbilao;Provincial Tourism Office
CLEAR BOOK LEGAL/LONG,office_stationery,office_stationery,false,false,needs_review,Likely non-pharmaceutical/non-medical-sales item by product-name keyword. Confirm with product master before exclusion.,60,60,53,46.9604,2789368.03,4602085.66,2048788.01,2023-01-21,2025-12-31,2023;2024;2025,Aboitiz;Government;PHO;PPDC;Pagbilao;Provincial Tourism Office;Tourism
HBW BLACK BALLPEN,office_stationery,office_stationery,false,false,needs_review,Likely non-pharmaceutical/non-medical-sales item by product-name keyword. Confirm with product master before exclusion.,49,49,43,217.1756,2412785.42,5630713.39,3248326.01,2023-01-21,2025-12-31,2023;2024;2025,Government;PHO;PPDC;Pagbilao;Provincial Tourism Office;QMC;Tourism
CORRECTION TAPE 20MM,office_stationery,office_stationery,false,false,needs_review,Likely non-pharmaceutical/non-medical-sales item by product-name keyword. Confirm with product master before exclusion.,65,65,61,133.3473,2157184.42,4005737.58,2105730.21,2023-11-20,2025-12-31,2023;2024;2025,Government;PHO;PPDC;Pagbilao;Provincial Tourism Office;QMC;Tourism
BALLPEN FINEPOINT,office_stationery,office_stationery,false,false,needs_review,Likely non-pharmaceutical/non-medical-sales item by product-name keyword. Confirm with product master before exclusion.,35,35,29,289.5327,2086399.07,3814124.09,2344597.64,2023-03-23,2025-12-31,2023;2024;2025,Government;Pagbilao;Provincial Tourism Office;Tourism
TRASH BAG - BLACK - MEDIUM,janitorial_cleaning,janitorial_cleaning,false,false,needs_review,Likely non-pharmaceutical/non-medical-sales item by product-name keyword. Confirm with product master before exclusion.,37,37,32,135.4311,1904669.46,3962773.28,2117922.75,2022-09-30,2025-12-31,2022;2023;2024;2025,Government;PESO;PHO;PPDC;Pagbilao;Provincial Tourism Office;Tourism
STAPLE WIRE #35,office_stationery,office_stationery;electrical_hardware,false,false,needs_review,Likely non-pharmaceutical/non-medical-sales item by product-name keyword. Confirm with product master before exclusion.,40,40,34,236.1503,1903599.87,4422718.09,2699166.11,2023-01-21,2025-12-31,2023;2024;2025,Government;PPDC;PPOC;Pagbilao;Provincial Tourism Office;Tourism
INK EPSON #003 MAGENTA,printer_it_supplies,printer_it_supplies,false,false,needs_review,Likely non-pharmaceutical/non-medical-sales item by product-name keyword. Confirm with product master before exclusion.,46,46,41,73.7125,1856166.49,2767438.39,1224667.99,2023-01-21,2025-12-31,2023;2024;2025,Government;PESO;PPDC;Pagbilao;QMC;Tourism
RECORD BOOK 500PAGES (VALIANT),office_stationery,office_stationery,false,false,needs_review,Likely non-pharmaceutical/non-medical-sales item by product-name keyword. Confirm with product master before exclusion.,60,60,54,46.6865,1532034.11,2051054.5,694173.52,2023-03-23,2025-12-31,2023;2024;2025,Government;PESO;PHO;PPDC;Pagbilao;Provincial Tourism Office;Tourism
INK EPSON #003 BLACK,printer_it_supplies,printer_it_supplies,false,false,needs_review,Likely non-pharmaceutical/non-medical-sales item by product-name keyword. Confirm with product master before exclusion.,61,61,55,286.1624,1500401.2,2020175.41,619102.57,2023-01-21,2025-12-31,2023;2024;2025,Government;PESO Provincial;PHO;PPDC;Pagbilao;Provincial Tourism Office;Tourism
